clearing_house,contract_code,contract_name,contract_type,source_url
EEX,10TC,Baltic Supramax 10TC Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,7TC,Baltic Handysise 7TC Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,5TC,Baltic Capesize 5TC Freight Option,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,C5,Baltic Capesize C5 Freight Option,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,5TC,Baltic Panamax 5TC Freight Option,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,11TC,Baltic Supramax 11TC Freight Option,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,10TC,Baltic Supramax 10TC Freight Option,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC7,TC7 FFA Singapore to EC Australia (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC12,TC12 FFA WCI to Japan (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC15,TC15 FFA Med to Far East (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC17,TC17 FFA Arab Gulf to East Africa (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC18,TC18 FFA - US Gulf to Brazil (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC23,TC23 FFA - ARA to UK Cont (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC2,TC2 FFA Northwest Europe to USAC (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC6,TC6 FFA Skikda to Lavera (Cross Med) (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC7,TC7 FFA Singapore to EC Australia (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC12,TC12 FFA WCI to Japan (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC14,TC14 FFA USGC to Continent (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC15,TC15 FFA Med to Far East (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC17,TC17 FFA AG to East Africa (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC18,TC18 US Gulf to Dubai (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC23,TC23 FFA - ARA to UK Cont (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC2,Daily TC2 FFA Northwest Europe to USAC (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC6,Daily TC6 FFA Skikda to Lavera (Cross Med) (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC12,Daily TC12 FFA WCI to Japan (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC14,Daily TC14 FFA USGC to Continent (Baltic) Mini Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC2,TC2 FFA Northwest Europe To Usac (Baltic) Average Price Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC6,TC6 FFA Skikda to Lavera (Cross Med) (Baltic) Average Price Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC14,TC14 FFA USGC to Continent (Baltic) Average Price Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TC2,TC2 37 FFA Triangulation with TC14 FFA CPP/UNL Continent to USAC (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD3C,TD3C FFA Middle East Gulf to China (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD7,TD7 FFA UK North Sea to Continent (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD8,TD8 FFA Kuwait to Singapore (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD9,TD9 FFA - Caribbean to US Gulf (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD19,TD19 Cross Med (Ceyhan to Lavera) (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD22,TD22 US Gulf to China (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD28,TD28 FFA - WC Can to China (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD25,TD25 US Gulf to ARA (Baltic) Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
ICE,TD3C,TD3C FFA Middle East Gulf to China (Baltic) Balmo Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
