index_code,component_code,component_type,mode,weight,scale_factor,source_url
FBX00,FBX21,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX22,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX24,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX26,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI22,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI23,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI24,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI25,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI31,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI32,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI33,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI34,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI42,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI43,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BAI00,BAI44,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
